timestamp,midnight,midnightUTCOffset,dawn,dawnUTCOffset,sunrise,sunriseUTCOffset,sunset,sunsetUTCOffset,dusk,duskUTCOffset
,1763625600,-8,1763647412,-8,1763649014,-8,1763686088,-8,1763687690,-8
,1763712000,-8,1763733865,-8,1763735471,-8,1763772463,-8,1763774068,-8
,1763798400,-8,1763820318,-8,1763821926,-8,1763858839,-8,1763860448,-8
,1763884800,-8,1763906771,-8,1763908382,-8,1763945218,-8,1763946829,-8
,1763971200,-8,1763993223,-8,1763994837,-8,1764031598,-8,1764033212,-8
,1764057600,-8,1764079675,-8,1764081292,-8,1764117980,-8,1764119597,-8
,1764144000,-8,1764166127,-8,1764167747,-8,1764204364,-8,1764205983,-8
,1764230400,-8,1764252578,-8,1764254201,-8,1764290749,-8,1764292372,-8
,1764316800,-8,1764339029,-8,1764340655,-8,1764377136,-8,1764378761,-8
,1764403200,-8,1764425480,-8,1764427108,-8,1764463525,-8,1764465153,-8
,1764489600,-8,1764511930,-8,1764513560,-8,1764549916,-8,1764551546,-8
,1764576000,-8,1764598379,-8,1764600012,-8,1764636309,-8,1764637942,-8
,1764662400,-8,1764684828,-8,1764686463,-8,1764722703,-8,1764724338,-8
,1764748800,-8,1764771276,-8,1764772913,-8,1764809100,-8,1764810737,-8
,1764835200,-8,1764857724,-8,1764859363,-8,1764895498,-8,1764897137,-8
,1764921600,-8,1764944170,-8,1764945812,-8,1764981898,-8,1764983539,-8
