timestamp,surf_min,surf_max,surf_humanRelation,utcOffset
1763625600,1,2,Knee to thigh,-8
1763629200,1,2,Knee to thigh,-8
1763632800,1,2,Knee to thigh,-8
1763636400,1,2,Knee to thigh,-8
1763640000,1,2,Knee to thigh,-8
1763643600,1,2,Knee to thigh,-8
1763647200,1,2,Knee to thigh,-8
1763650800,1,2,Knee to thigh,-8
1763654400,2,3,Thigh to waist,-8
1763658000,2,3,Thigh to waist,-8
1763661600,1,2,Knee to thigh,-8
1763665200,1,2,Knee to thigh,-8
1763668800,1,2,Knee to thigh,-8
1763672400,1,2,Knee to thigh,-8
1763676000,1,2,Knee to thigh,-8
1763679600,1,2,Knee to thigh,-8
1763683200,1,2,Knee to thigh,-8
1763686800,1,2,Knee to thigh,-8
1763690400,1,2,Knee to thigh,-8
1763694000,1,2,Knee to thigh,-8
1763697600,1,2,Knee to thigh,-8
1763701200,1,2,Knee to thigh,-8
1763704800,2,3,Thigh to waist,-8
1763708400,2,3,Thigh to stomach,-8
1763712000,3,4,Waist to chest,-8
1763715600,2,3,Thigh to stomach,-8
1763719200,3,4,Waist to chest,-8
1763722800,3,4,Waist to shoulder,-8
1763726400,3,4,Waist to shoulder,-8
1763730000,3,4,Waist to shoulder,-8
1763733600,3,4,Waist to chest,-8
1763737200,2,3,Thigh to stomach,-8
1763740800,4,5,Chest to head,-8
1763744400,4,5,Chest to head,-8
1763748000,3,4,Waist to shoulder,-8
1763751600,3,4,Waist to shoulder,-8
1763755200,2,3,Thigh to stomach,-8
1763758800,3,4,Waist to shoulder,-8
1763762400,2,3,Thigh to stomach,-8
1763766000,2,3,Thigh to stomach,-8
1763769600,2,3,Thigh to stomach,-8
1763773200,3,4,Waist to chest,-8
1763776800,3,4,Waist to chest,-8
1763780400,4,5,Chest to head,-8
1763784000,3,4,Waist to shoulder,-8
1763787600,3,4,Waist to shoulder,-8
1763791200,4,5,Chest to head,-8
1763794800,4,5,Chest to head,-8
1763798400,3,4,Waist to shoulder,-8
1763802000,3,4,Waist to shoulder,-8
1763805600,3,4,Waist to shoulder,-8
1763809200,3,4,Waist to shoulder,-8
1763812800,3,4,Waist to shoulder,-8
1763816400,3,4,Waist to shoulder,-8
1763820000,3,4,Waist to shoulder,-8
1763823600,3,4,Waist to shoulder,-8
1763827200,3,4,Waist to shoulder,-8
1763830800,3,4,Waist to shoulder,-8
1763834400,3,4,Waist to shoulder,-8
1763838000,3,4,Waist to shoulder,-8
1763841600,3,4,Waist to shoulder,-8
