timestamp,utcOffset,speed,direction,directionType,gust,optimalScore
1763625600,-8,1.95519,44,Offshore,3.25865,2
1763629200,-8,3.69314,21,Offshore,5.21385,2
1763632800,-8,3.25865,31,Offshore,4.34487,2
1763636400,-8,2.65906,31,Offshore,5.26598,2
1763640000,-8,2.11161,29,Offshore,4.50129,2
1763643600,-8,2.7112,28,Offshore,3.58017,2
1763647200,-8,1.3556,65,Offshore,2.32885,2
1763650800,-8,2.00733,23,Offshore,3.4759,2
1763654400,-8,1.57284,52,Offshore,3.4759,2
1763658000,-8,0.80815,51,Offshore,2.7112,2
1763661600,-8,11.13156,120,Cross-shore,13.4691,0
1763665200,-8,8.68974,125,Cross-shore,10.47983,0
1763668800,-8,8.4725,127,Cross-shore,12.70441,0
1763672400,-8,11.78329,120,Cross-shore,15.74582,0
1763676000,-8,9.22851,146,Cross-shore,11.13156,0
1763679600,-8,7.05607,125,Cross-shore,8.84616,0
1763683200,-8,11.29667,150,Cross-shore,14.77257,0
1763686800,-8,8.41167,130,Cross-shore,10.47983,0
1763690400,-8,9.09559,102.90875,Offshore,11.37454,0
1763694000,-8,9.81734,130.23747,Cross-shore,18.48821,0
1763697600,-8,9.12463,134.41815,Cross-shore,18.02086,0
1763701200,-8,7.60364,144.72245,Cross-shore,18.33107,0
1763704800,-8,4.8496,139.46892,Cross-shore,17.25163,2
1763708400,-8,1.88264,76.71852,Offshore,2.527,2
1763712000,-8,8.43572,210.71925,Onshore,12.63499,0
1763715600,-8,8.68665,134.19861,Cross-shore,18.07776,0
1763719200,-8,10.35401,111.88284,Cross-shore,20.60476,0
1763722800,-8,11.38792,104.50878,Offshore,24.88122,0
1763726400,-8,8.90761,100.66287,Offshore,22.5486,0
1763730000,-8,7.65774,116.25397,Cross-shore,22.74299,0
1763733600,-8,9.25663,113.9904,Cross-shore,24.29807,0
1763737200,-8,6.411,105.48454,Cross-shore,20.60476,0
1763740800,-8,6.23984,114.52588,Cross-shore,20.41038,0
1763744400,-8,7.60283,126.33193,Cross-shore,16.13392,0
1763748000,-8,8.355,132.28831,Cross-shore,17.10584,0
1763751600,-8,8.83987,145.17593,Cross-shore,14.77322,0
1763755200,-8,7.3653,141.52196,Cross-shore,13.8013,0
1763758800,-8,5.20722,158.49362,Onshore,11.46869,0
1763762400,-8,3.84387,174.54494,Onshore,6.2203,2
1763766000,-8,5.20601,191.00729,Onshore,5.20601,0
